Index,Customer Id,First Name,Last Name,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website
1,jYSS9xjWkVRcKSg+l+EFH5an6ZrNEyqkOvzjtG7gEh68xSOKw+vtSGZnxg==,XX/AzOUaSoBaCZX4G2+c1kKwZr2OJR0IWGR6kGyow64NdA==,z336TbrpG+jdFfZUb7UMMAmj/RlyG2h2YDpo+6AQ0JMZtQ==,E06H0s3F9USBqUFZzyRYq3WkyOR6xwP5PYqeiXS4CS8Zgl0EZvnO5Q==,Chile,h/Ev58kDWM96BgWsG8aTeFevyF5PcogGpp6HMXrso5MZBAR5/yZ5KQ==,x81AH2K4slAJHE1ci87GA51cLjVDuRgFmLsmT6ingzcOttOu9s+uC2RGTOM=,5JUCNDI0p9rlLthGiCdK/Gw4WP5ZREp79HYeYUg1suG3VT52EIAYxRPAmdkjrQ4rRuE7OA==,2020-08-24,KvMMTNw5Sgh3WEldBoZmth6pnXwLxn7p+zIoG5C/jFqwo+IVjxwgo+izpUjWPtDPV7eobUOM
2,uDUT/1RbBr8IxnpFfxTFqcBmtHCFjUFRzEfJpZ2OT0n2fWlVWFuoHHL6Hw==,vuL6asCX7NjXYRZY6br1k3W+dYCO5Q7cRM5YIXRVHkWv0rI=,Njmk62yMXpVz1ppshFTCV52xW419EEfCdT4i3jmOURbFvg==,nyMqTy9BOImvx7QI7cgHxpoNWcRBbuqGYWoCMPFvCDX/dNIZUxq7Ms7R7hwP,Djibouti,b9IjJaDHG3whCRO1+r2uP/As0JSjVC1vi7G5cB7eM5fyBLLVBME=,ETrlnLk1Mf/hOP18xpa7E8MImXHXGbfxsp2AwECJxp6ndBIVq7qcuqygyl4=,S1yEh/plWxV6jEjIqZdSFoNJALtM37h3L/5FK9jldxJofdDbEFldDpgAFg==,2021-04-23,CTCMcDnunPXuIoAzUJteCx0e/doRpRo6StgcXP5QbSRMMD+H8FMtaZDPaV1b4AD1Jw==
3,rJR2i4FOVOKMoSNecr7MiZm8Z/UIcrZCQUhACIEbHKLIq7Kf+BmGikY5eQ==,4XAF+LAMg09Rvyq27iDqzVCQUinnTLX5svbt1P4AFQ==,wWbYVW3Qm4qJHuc/Auy+8pktI6JHEi3sU4Nrg41wFbUI,wqcJ4MXCI1eUPWHc6BKjFMZ1j4wpaZHzNzV6rIqmgIUmy3Oy1cvpkq4=,Antigua and Barbuda,K9gW6xHl7cmk+KUFfyasEH5PN+BB5cbzUio8v1PwvrGtsOFz8w3rmLZbNg==,xXJWJwVdRC6DraYijXrXyG2/j/Zavb85znxcg20S4RP/l6kaaik+u7lNdyhCDqY=,pvQRbxsqj5pacZzqmPXMCLquQwUePtXdduSp5HPFu95vOOuBmHV8tZCPHWf5t6w=,2020-03-25,1MD/2iZENlOr5EtGgCXp6ZsZ3ziBKi/rBKdFN8Thi7tilotpTbmHP/34FIVZW0uMrF9pYA==
4,vOcDZjLvvl6nf7YC+UUWsZvhylYkrn7rwRo7nV6Z0cILSHHvhN6G/lP5VQ==,2eY275J9m98KLPPQEaXW+TKc0DJ/1tzL5GlS8mqAbmS1,Via2t/m7sskFNpI7XKbSJTzioUj+sZfEcd4SgcDRLOxO,y+j/ruQFbC3N+uvZ93VeoJZDfJlzXG00sCB1QTzXabiNGJ2zVcg=,Dominican Republic,img0Eb27aKp6Je41AMIhVE8LYFSuBnwP0XfYvOsaecHcytBMXqm8I6K4VPOo+SmJBYc=,BkcuHeQ1f9/Yr1WIpxu5A7q5RCdWRSu3SjuJJhUg9S3/aKzV4Ek9zB/omA==,SLqBn4MuMrsoG40zz8IgUNexA+91cK3u2MH0U20izPSEArswzimJAxj2n/8TQ+Bg0m2M7tMk1A==,2020-06-02,EDkxVQDs8ouyRgXzIweDjKh1++xZIyUshzaWqfCZy7Kl4poJaW8ZcazAq4nUYVye/I6HS7Xn
5,nXUasQaPjvJiOJ9NgkW3p+8Q2vwWVRGw6U5w6TpouHpTcxL72BnR/2krSw==,sHhCi8rZruT7iST0Oi1BfcePgiZl7kOkks/f55O2g5yD3w==,fvL7FVDXRZ9rEmcE8LMdLHeGx0s2hRAa8hivdu2kSj0bXA==,hUB2/c8CTvMcgycwc7mmE3NJauD9GsOX6Lofx6jL3Oy7wcWX/OJ1R0S8,Slovakia (Slovak Republic),PEmRzvkN7TtI5MorYfGjsrDuuKhzOYG3MgNFyTaqaoSnzpuZpBm3wowevTGNBL06lN8=,TgYeJ2wtXEuVjmriCnM9/YXKqkM6S6Hhv5p0ejMmcBaL9dzxwXsVzJlQcAy1zFS02A==,QxbKfTpvEVmgBL1d2mzAzMuyCr6UHg+JZueWNsohY2ei9kXIAuoe1SuUlU3LTM1EKP5x,2021-04-17,WutGdmEnFV62jcQFw+ExUoy6MAEJMRq8sb39rJuJMSDylzb0bXyB7HjbP9QgmgxtbBXa/HMmKQ==
6,iVz5FUmco6mIlDGsK3/gpX5S5qgWS4wm73Ya8+yi3spMY98TsR89iF+Znw==,krInz/Zq2QOri41pbZryTfVW74WY5EW/HIp/q8rf7WfW,31fsPJd6K+ZKt4iwjod/SuCJrQW2160FZqQrKDMFxUVF,KgjRRmOx4Vw7sRqtNtjgSQZ8hopTEa6zdb5GcHKF0YoVIYnWmvv3gU8=,Bosnia and Herzegovina,h8UmzUElMUV0HfRJQN+lEX4WO0H8Rv6AZMgLp+bhqTnuL2KlJaAgOLMjsAug/ac=,klfMsxgcx3luSRzXy3j2cNOxg8bR673RME33qdGWj8bWKc7JIcPlKQ==,CxXw7cqxV0en3o2yeDIIuUzaTBkqnK0BbuXN6rYt3iAae9TDPsyhLQrH/w67ExE=,2020-02-25,rxgzw0J1ZSmVzQRKG3pL2g50ycgXhcJ+cs/VQUO2SRhhIm5gOIjW20ucfQfxXQ8ZHlc=
7,2CY0O1oLG3hCKnDnjttslb7nFmNHngRwhga09gfqvg2lcQ/E/nmcFoF7zg==,Iauju6GMRJDdn3DkXcoPqnmU0L2QwqWk8MnOb5Dh9kR+aA==,fK0jFdEt/YswO/PXZJ464B/C3Yl7uMtuAuIL45Iysdc=,iDlXSNzXQUuENJtKPZ9Wc13fj/E3azFKWgAVUltYkiuHCxXf,Pitcairn Islands,UqbxO43EMAsi5B4ldtdLrUiT+BCnXWwahPQNLrXqgErSI70dPt2r/JXWcIJLvw==,6j52xzSSJZKzg7vgnqlEN0Iw8zK63rKdW5x8EikqeNcxZ/rbCqLPDDw6cVmrheUY,Io8siQFC/+vJ3Qw5AoZ7sSG5YTBGUdeVWLvvT40EPjntWN5nE1J8HNxNo8C1qDE=,2021-08-24,H6W95va4z4yOdpBrGknH7TWoE90x91tQAq1t0Kq7R0tf581gUZTClk8oJbje6Bs=
8,GcSEX5HzUlxufl/4XcdPeGm7GlvwpaWzUrVs5YDdYQY6TWtY1017RqrtqA==,Fy8t5kNNstBKNM+72C7TsWh4A5zShi4FWE4sm96OR15S,BIZtXk3dUN6mfmMbto9j4I2eIMCpeMp2HxdAgj0dDaX/1g==,xqhVRBBd8Ila8JBXy/F9Vx/k4SIeREMzgKPZh/lwAfLvRTo=,Bulgaria,j6X8/ldUpX5svMkvowL2FydWtAsXwsvLEJ7IzSoUx74tJkPu5XHJJQ4D28BD4gH2,TegWpC/qiO3F7woQrrZiohHOwmKv48Cw/qy8fLwypLcN3LHM0M0rZNQYUA0=,WHzSYqfyNpYn+cL8W/LeT83W3woZxC9WBWVsT/GsLIosw8loYWyz3iRzVg==,2021-04-12,VxfCDkZY0GMHLnFD5upBum7RJXcTKIAGCL1cqZzUXjr0O8R9CPR0nZHQUAb/UaCVeaAdUGe9pQ==
9,hI61mmlZTK7MhnqPxt6ISLfdbydnB/kBYR2vAqDD+73P2sFrlttOszKQBg==,nXGeg4VlM5yDNKyaqtClLXepyE5o5F6ouEtidvi8YNxFtA==,u5AOOEdJEtcKxxXUz679WodpO+FyyxPu0v/wOgJQejOtLg==,mhG+8foRPyqc7wnTb9X1fSvgk8ke3e2Fkuv7E/BOVVLohR+5p5Cfdw==,Cyprus,duuPjvmEOCnlO9l2507UJWL/ghMblrAPbWYYxqNLvINGXopCY1agZ4NXUEVx,vZzinmIjvhwuj6mTa/DazCgtgX/ttFQbX0ep2TlzBJDg86/rZAHWbT0qtH0rqOU=,sA+UdZHq+aptL42MDci8UO/suzXOUybXadxMUrkxU4bq1vT5+JuY8z0buuZEwWFQBqTc,2020-01-13,nW+EoMMDAtK8Or0tfbnSY6AWZKshaxr4qbLPjXpHtIAtOvYU/XIUbupMdFWpSHvidmLJ7w==
10,qxzVPiIREedIJ6KVp+VoW7TD4+ot/bPPh9DlPhLcBcaf1ji9nC5WUZMJiA==,mz3S4ViVaUG7SlxP+Qb+i7ARHM2p3PuHU0aXAz1P0Oyf7dN4,Ybsh2437ZYAgmBhH2lPhrf/gaxUswoo/9PJEK3x3cfvbfPYYWA==,ZKfH3gJcwDsnV7uXikwamHpUjbpGbfxwBrdmdx8o+DPpBIfencw=,Timor-Leste,gMG8z0xsHmMSR0Puvt2ZY6Nyox0Z5ZNszezTZrC64j1lONR7kIVqA0bCLmc=,ijETQxZtbVX1IuzEYdyewxFvM82lAdisYdjCYofqIP+xlGh4+0hQOzeY89EGxEt+,sr+YuiNltOMCjmJxnaU6R7auoLgm/s7+ZU9MJFVvaDcRTefXkaKt4lERq5yi,2021-11-08,M4Ha/B8I4Z+EkTT9SABvlDEhqbStGbJ+GkclbGBvAl4abTKlt3+O1fqui1Vw+w==
